current_time,weather,temp,humidity
2025-08-11 06:45:19,Clouds,28.76,74
2025-08-11 07:01:15,Clouds,28.76,74
2025-08-11 07:31:53,Clouds,29.76,66
2025-08-11 07:46:55,Clouds,29.76,66
2025-08-11 07:55:34,Clouds,29.76,66
2025-08-11 08:20:51,Clouds,28.83,68
2025-08-11 08:47:59,Clouds,29.76,66
2025-08-11 09:02:04,Clouds,29.76,66
2025-08-11 09:34:31,Clouds,27.76,74
2025-08-11 09:50:57,Clouds,27.76,74
2025-08-11 09:58:00,Clouds,27.76,74
2025-08-11 10:22:09,Clouds,27.76,78
2025-08-11 10:45:00,Clouds,27.76,78
2025-08-11 10:56:06,Clouds,27.76,78
2025-08-11 11:13:48,Clouds,27.76,78
2025-08-11 11:30:21,Clouds,26.76,83
2025-08-11 11:42:58,Clouds,26.76,83
2025-08-11 11:50:37,Clouds,26.76,83
2025-08-11 11:57:58,Clouds,26.76,83
2025-08-11 12:41:23,Clear,24.76,88
2025-08-11 13:24:48,Clear,24.76,88
2025-08-11 13:53:57,Clear,24.76,88
2025-08-11 14:12:41,Clear,24.76,88
2025-08-11 14:39:54,Clear,24.76,88
2025-08-11 14:54:38,Clear,24.76,88
2025-08-11 15:13:17,Clear,24.76,88
2025-08-11 15:35:52,Clear,23.76,100
2025-08-11 15:49:48,Clear,23.76,100
2025-08-11 15:58:25,Clear,23.76,100
2025-08-11 16:27:25,Clear,22.76,100
2025-08-11 16:51:20,Clouds,22.76,100
2025-08-11 17:09:54,Clouds,22.76,100
2025-08-11 17:34:13,Mist,22.76,100
2025-08-11 17:48:38,Mist,22.76,100
2025-08-11 17:56:12,Mist,22.76,100
2025-08-11 18:22:08,Clear,21.65,93
2025-08-11 18:50:22,Mist,22.76,100
2025-08-11 19:01:53,Mist,22.76,100
2025-08-11 19:24:01,Clear,20.76,100
2025-08-11 19:35:29,Mist,20.76,100
2025-08-11 19:44:55,Mist,20.76,100
2025-08-11 19:52:21,Mist,20.76,100
2025-08-11 19:59:21,Mist,20.76,100
2025-08-11 20:23:49,Clear,20.76,100
2025-08-11 20:39:11,Mist,20.76,100
2025-08-11 20:49:16,Mist,20.76,100
2025-08-11 20:56:35,Mist,20.76,100
2025-08-11 21:14:50,Mist,20.76,100
2025-08-11 21:30:11,Mist,20.76,100
2025-08-11 21:41:49,Mist,20.76,100
2025-08-11 21:49:10,Mist,20.76,100
2025-08-11 21:56:22,Mist,20.76,100
2025-08-11 22:14:41,Mist,20.76,100
2025-08-11 22:35:16,Mist,23.76,100
2025-08-11 22:47:23,Mist,23.76,100
2025-08-11 22:54:36,Mist,23.76,100
2025-08-11 23:10:26,Mist,23.76,100
